"","alpha.bar","sc.gamma","sc","sc.CL","Year","Gen_ID_Prop","Ecoregion_NARS","Agency"
"1",25.9350649350649,106.04502570149,0.750000264480287,4.73345322333034,12,0.706448508180943,"CPL","EPA"
"2",28.4444444444444,103.305408122931,0.745116675985574,12.3932974854696,16,0.728886168910649,"CPL","EPA"
"3",25.8793103448276,95.5700088229336,0.749999300109411,4.59027633104414,17,0.738246543986989,"CPL","EPA"
"4",28.7083333333333,91.78128317462,0.749999374159622,9.4054680514013,21,0.74517257108104,"CPL","EPA"
"5",30.1428571428571,100.035618117507,0.749999859348299,5.65616803833849,22,0.833639368343739,"CPL","EPA"
"6",24.4137931034483,83.3085300037599,0.749999246920247,5.89004317779846,26,0.832976306394028,"CPL","EPA"
"7",30.8235294117647,100.836312428962,0.750000583028214,5.42208538420893,27,0.829437281600193,"CPL","EPA"
"8",32.9787234042553,89.5438032942107,0.750000471373585,3.10972843478656,12,0.786862838158519,"NAP","EPA"
"9",34.5714285714286,104.984983197253,0.749999382213976,5.3402441336514,16,0.768751180804837,"NAP","EPA"
"10",33.6734693877551,102.274098928574,0.750000478234266,5.20132629224169,17,0.816618075801749,"NAP","EPA"
"11",32.8125,91.5992433822484,0.749999900475482,3.93074940055077,21,0.843736156640383,"NAP","EPA"
"12",35.1333333333333,100.441865420798,0.750000408407171,4.85245471949005,22,0.866924668556978,"NAP","EPA"
"13",34.9275362318841,101.444427870725,0.75000080029448,3.64620309904969,26,0.85032277818887,"NAP","EPA"
"14",33.1578947368421,101.440754996666,0.749999625112424,3.89389666361524,27,0.869590213676579,"NAP","EPA"
"15",19.15,46.2796870681477,0.749998972546012,5.1305630963988,8,0.604018311291963,"NPL","EPA"
"16",21.2,47.124154638671,0.750000742182256,5.05894307462455,9,0.754584127915505,"NPL","EPA"
"17",21,62.1556271556493,0.74999988641433,5.34390713001666,10,0.751233125649013,"NPL","EPA"
"18",20.1034482758621,61.2156351548132,0.749999887427105,5.67127621341383,11,0.684734090039536,"NPL","EPA"
"19",23.8979591836735,82.9134608785533,0.750000362426975,5.21296734182877,16,0.847742086569611,"NPL","EPA"
"20",23.8166666666667,81.4568598699551,0.749999612378969,5.7903594246104,17,0.892529711375212,"NPL","EPA"
"21",26.2291666666667,87.1533153844324,0.749999473831545,4.91605874221047,21,0.837409072632233,"NPL","EPA"
"22",24.0933333333333,77.7693505502872,0.749999526234764,4.8683115599362,22,0.901835472161153,"NPL","EPA"
"23",24.7368421052632,68.0382986308047,0.749999605541867,4.70359146514963,26,0.884142579144715,"NPL","EPA"
"24",26,82.1338202679679,0.750000244468283,5.32203316184571,27,0.881087461447664,"NPL","EPA"
"25",31.4419889502762,92.1427228920181,0.749999588952797,2.82737363312583,12,0.83138047005991,"SAP","EPA"
"26",33.1627906976744,107.862030839739,0.75000058608478,6.1837565600952,16,0.771392134276781,"SAP","EPA"
"27",31.7327586206897,99.4742743291607,0.75000009141773,3.51086045833752,17,0.798640647741243,"SAP","EPA"
"28",33.7118644067797,98.9573001105779,0.750000162557916,3.90977080990466,21,0.854431492003983,"SAP","EPA"
"29",34.4032258064516,94.7574415315339,0.749999722170856,3.72820096596475,22,0.866397106979128,"SAP","EPA"
"30",32.474358974359,97.5805915120447,0.749999247386047,4.02522961615,26,0.859161443999907,"SAP","EPA"
"31",33.9230769230769,97.6630736529587,0.750000706037128,6.71770893279347,27,0.897097625329815,"SAP","EPA"
"32",18.6,38.7368432929353,0.709677419354839,10.5626803378354,9,0.688983050847458,"SPL","EPA"
"33",22.3333333333333,78.3333333333333,0.75,23.1649382669832,10,0.668046571798189,"SPL","EPA"
"34",18.8888888888889,63.2460845359465,0.750000275539737,8.87161047973607,11,0.695106649937265,"SPL","EPA"
"35",24.6060606060606,85.6281835464538,0.749999948567566,7.18037932558862,12,0.790987052295275,"SPL","EPA"
"36",26,88.0299718379016,0.749999489641359,6.69183319200533,16,0.862089099083319,"SPL","EPA"
"37",23,78.1163419821431,0.750000583621105,6.01285146236521,17,0.844548104956268,"SPL","EPA"
"38",24.4444444444444,73.166569363981,0.749999616960426,4.74013924458902,21,0.807501942978689,"SPL","EPA"
"39",23.5686274509804,83.8810649120618,0.749999976787488,4.80104318207673,22,0.849549951647698,"SPL","EPA"
"40",22.7179487179487,78.7107505742894,0.750000278058978,5.989054397899,26,0.823110486985305,"SPL","EPA"
"41",23.4722222222222,73.0397129088953,0.750000274345059,6.45180276085519,27,0.886829913964262,"SPL","EPA"
"42",20.3333333333333,34.5064263397584,0.749999129711909,3.19033395017574,8,0.644493051981472,"TPL","EPA"
"43",21.2,48.9382301063665,0.75000086802751,6.64488888161123,9,0.698576512455516,"TPL","EPA"
"44",20.04,48.7934825152737,0.749999307230101,5.60457986427919,10,0.632265034209579,"TPL","EPA"
"45",16.8181818181818,42.0916988945787,0.74999994027395,6.61556309106808,11,0.645357686453577,"TPL","EPA"
"46",26.4210526315789,66.9863183754626,0.750000496180872,3.14129506995756,12,0.791139621128596,"TPL","EPA"
"47",22.9393939393939,64.0139991088894,0.750000212638548,5.19310741580207,16,0.90223446587083,"TPL","EPA"
"48",24.4888888888889,80.040221994451,0.749999988168757,5.8935335128716,17,0.802216605094303,"TPL","EPA"
"49",24.2272727272727,67.4359270736907,0.750000453892338,3.60761140667884,21,0.886176897051716,"TPL","EPA"
"50",25.7631578947368,74.3184156560382,0.750000519025078,5.94811897994224,22,0.817158029664897,"TPL","EPA"
"51",26.5072463768116,76.1853093017403,0.750000486036599,3.32574299090351,26,0.870165224657017,"TPL","EPA"
